"city","sex","edu","married","worktime","ind","size","occ","status","age","fulltime","union","train","paytype","income","regular"
1,1,1,2,8,"G",1,9,3,90,2,1,2,6,4,2
1,1,2,3,0,"Q",3,9,2,89,2,1,1,4,20,2
1,1,1,3,30,"G",1,9,3,88,1,1,2,6,10,1
1,1,7,2,20,"P",3,2,2,86,2,2,2,4,200,2
1,1,1,2,10,"G",1,9,3,86,2,1,2,6,5,2
1,1,1,2,12,"Q",3,9,2,86,2,2,1,2,20,2
1,1,2,2,20,"C",2,9,3,86,2,1,2,6,3,2
1,1,3,2,6,"O",1,9,2,85,2,2,1,4,20,2
1,1,0,3,30,"O",1,9,2,84,2,2,1,2,40,2
1,1,3,2,6,"S",2,9,2,83,2,2,2,4,20,2
1,1,5,3,2,"Q",3,2,2,84,2,1,2,4,10,2
1,1,0,2,9,"S",5,9,2,83,2,1,1,1,20,2
1,1,2,2,9,"Q",2,9,2,83,2,1,1,4,20,2
1,1,2,2,15,"Q",2,9,2,82,2,2,1,4,20,2
1,1,5,2,8,"O",1,9,2,83,2,2,1,4,20,2
1,1,0,2,9,"Q",3,9,2,82,2,1,1,4,20,2
1,1,0,2,9,"Q",3,9,2,82,2,1,1,4,20,2
1,1,1,2,14,"O",3,9,2,81,2,2,2,1,34,2
1,1,1,2,8,"G",1,9,3,82,2,1,2,6,10,2
1,1,1,2,20,"G",1,9,2,82,2,1,2,6,20,2
1,1,2,2,0,"O",2,9,2,81,2,1,1,4,26,2
1,1,2,2,0,"Q",2,9,2,82,2,3,1,2,20,2
1,1,2,2,10,"Q",4,9,2,82,2,1,2,1,50,2
1,1,5,2,30,"G",1,9,3,82,1,1,2,2,40,1
1,1,5,2,40,"Q",6,1,1,82,1,2,1,4,1800,1
1,1,1,2,6,"O",3,9,2,81,2,1,1,4,20,2
1,1,1,2,9,"Q",5,9,2,81,2,1,1,4,20,2
1,1,1,2,36,"F",3,7,3,80,1,1,2,2,60,2
1,1,2,2,31,"C",2,9,2,81,1,1,2,4,75,1
1,1,2,3,9,"Q",2,4,2,81,2,1,1,4,20,2
1,1,3,2,3,"Q",3,9,2,81,2,1,1,1,23,2
1,1,3,2,12,"Q",4,9,2,80,2,1,1,1,21,2
1,1,3,2,15,"G",1,9,3,81,2,1,2,6,6,2
1,1,3,3,6,"O",3,9,2,81,2,1,1,4,20,2
1,1,5,2,9,"Q",3,9,2,81,2,1,1,1,20,2
1,1,0,2,16,"O",3,9,2,80,2,2,1,4,32,2
1,1,1,2,7,"G",1,9,3,79,2,1,2,6,2,2
1,1,1,4,9,"Q",2,9,2,79,2,2,1,2,20,2
1,1,2,2,8,"Q",3,9,2,80,2,1,1,1,20,2
1,1,2,2,0,"Q",1,9,2,80,2,1,1,4,20,2
1,1,2,2,8,"Q",2,9,2,80,2,1,1,4,20,2
1,1,3,2,56,"Q",3,1,1,79,1,1,1,4,450,1
1,1,3,2,68,"L",1,9,2,79,1,1,2,4,60,2
1,1,3,2,6,"Q",3,9,2,80,2,1,2,4,20,2
1,1,3,2,6,"Q",1,4,2,79,2,1,1,2,20,2
1,1,5,2,7,"Q",3,2,2,79,2,1,2,4,60,2
1,1,0,2,11,"O",2,9,2,78,2,2,1,4,20,2
1,1,0,2,45,"G",1,9,3,79,1,1,2,6,20,1
