"city","sex","edu","married","age","worktime","ind","size","occ","status","fulltime","union","train","paytype","income","regular"
1,1,0,3,92,9,"S",5,9,2,2,1,1,1,27,2
1,1,2,2,88,10,"C",2,9,3,2,1,2,6,15,2
1,1,1,2,86,0,"Q",3,9,2,2,1,1,2,27,2
1,1,1,2,85,36,"I",1,4,2,1,1,2,4,50,1
1,1,2,2,85,0,"O",1,9,2,2,1,1,4,27,2
1,1,5,3,86,3,"Q",3,2,2,2,1,2,4,10,2
1,1,1,2,84,6,"Q",3,9,2,2,1,1,2,27,2
1,1,1,2,85,9,"Q",2,9,2,2,1,2,1,27,2
1,1,1,3,85,36,"H",5,8,2,1,2,2,4,100,2
1,1,0,2,83,4,"O",2,9,2,2,2,1,4,27,2
1,1,0,2,84,9,"Q",2,9,2,2,1,1,1,27,2
1,1,0,2,84,9,"Q",3,9,2,2,1,1,4,27,2
1,1,1,2,84,10,"O",4,9,2,2,2,1,4,27,2
1,1,2,2,84,2,"O",3,9,2,2,2,1,4,27,2
1,1,2,2,84,6,"Q",3,9,2,2,1,2,1,27,2
1,1,2,2,84,8,"Q",4,9,2,2,1,2,4,27,2
1,1,7,2,84,40,"Q",6,1,1,1,1,1,4,1800,1
1,1,0,2,83,9,"O",4,9,2,2,2,1,1,27,2
1,1,1,2,82,9,"O",3,9,2,2,1,2,1,27,2
1,1,1,2,83,0,"O",3,9,2,2,1,1,1,27,2
1,1,1,2,82,9,"Q",3,9,2,2,1,2,4,22,2
1,1,3,2,83,6,"Q",3,9,2,2,1,2,1,27,2
1,1,3,2,83,9,"S",3,9,2,2,1,1,1,30,2
1,1,3,3,82,9,"Q",1,9,2,2,1,2,1,27,2
1,1,3,2,83,9,"O",2,9,2,2,1,2,1,27,2
1,1,3,3,83,32,"N",1,7,3,1,1,2,2,180,2
1,1,3,3,83,6,"Q",3,4,2,2,1,1,4,22,2
1,1,3,3,83,0,"O",2,9,2,2,1,1,4,27,2
1,1,5,2,83,1,"Q",1,2,2,2,1,2,1,10,2
1,1,1,2,82,10,"O",2,9,2,2,1,1,1,27,2
1,1,1,2,81,10,"G",1,9,3,2,1,2,6,10,2
1,1,2,2,82,9,"Q",4,9,2,2,1,2,2,22,2
1,1,3,2,82,9,"Q",2,9,2,2,1,2,1,27,2
1,1,1,2,80,20,"G",1,9,3,2,1,2,6,10,2
1,1,1,2,81,28,"G",2,9,2,2,2,2,2,100,2
1,1,1,2,81,0,"N",1,7,2,2,1,1,4,40,2
1,1,1,2,81,9,"Q",1,9,2,2,1,1,4,27,2
1,1,2,2,80,4,"O",1,4,2,2,1,2,4,27,2
1,1,2,2,80,4,"S",3,4,2,2,1,2,4,27,2
1,1,2,2,80,6,"O",3,9,2,2,1,1,1,27,2
1,1,3,2,80,15,"Q",4,9,2,2,1,1,6,50,2
1,1,3,4,81,9,"O",3,9,2,2,2,1,4,20,2
1,1,5,2,81,6,"S",1,9,2,2,1,2,1,27,2
1,1,7,2,80,32,"M",3,1,1,1,1,1,5,170,1
1,1,0,2,80,35,"F",3,9,3,1,1,2,2,180,2
1,1,0,2,80,21,"G",1,9,3,2,1,2,2,30,2
1,1,1,2,79,30,"L",1,9,2,1,1,2,4,100,2
1,1,1,2,79,6,"O",3,9,2,2,1,1,4,27,2
1,1,1,2,79,20,"O",1,9,2,2,2,1,1,80,2
1,1,1,2,79,6,"O",2,9,2,2,1,2,1,27,2
1,1,1,2,80,9,"Q",1,9,2,2,1,1,4,27,2
1,1,2,2,79,9,"S",3,9,2,2,1,1,1,27,2
1,1,2,2,79,10,"G",1,9,3,2,1,2,6,20,2
1,1,3,2,79,4,"Q",2,9,2,2,1,1,1,27,2
1,1,3,2,80,30,"G",1,9,3,2,1,2,1,70,2
1,1,5,2,80,6,"Q",4,4,2,2,1,1,4,27,2
1,1,5,2,80,16,"K",2,5,2,2,1,1,6,55,2
1,1,1,2,79,6,"O",2,9,2,2,1,1,1,27,2
1,1,1,2,78,9,"Q",1,9,2,2,1,1,1,27,2
1,1,1,2,79,24,"N",2,6,3,1,1,2,2,82,2
1,1,1,2,79,0,"Q",3,7,2,2,1,1,1,27,2
1,1,2,2,78,4,"O",2,9,2,2,2,1,4,30,2
1,1,2,2,79,9,"Q",2,9,2,2,1,1,1,27,2
1,1,2,2,79,15,"G",1,9,3,2,1,2,6,8,2
1,1,2,2,79,24,"Q",3,9,2,2,1,1,4,25,2
1,1,3,3,79,32,"S",1,2,1,1,4,1,4,250,1
1,1,3,2,79,6,"Q",2,9,2,2,1,1,4,27,2
1,1,3,2,79,6,"S",1,9,2,2,1,1,1,27,2
1,1,3,2,79,8,"Q",2,9,2,2,1,2,4,27,2
1,1,3,2,78,15,"O",1,9,2,2,2,1,1,56,2
1,1,5,2,78,32,"K",3,1,1,1,1,1,4,500,2
1,1,5,2,78,35,"M",1,2,1,1,1,1,4,1000,1
1,1,5,3,79,18,"L",1,9,2,2,1,2,4,90,2
1,1,5,2,79,40,"H",3,3,2,1,1,2,4,150,1
1,1,0,3,78,30,"F",2,9,3,1,1,1,2,130,2
1,1,1,2,77,9,"Q",2,9,2,2,1,2,1,27,2
1,1,1,2,78,10,"Q",4,9,2,2,2,1,4,50,2
1,1,1,2,77,12,"Q",2,7,1,2,1,1,4,20,2
1,1,1,2,78,0,"O",1,9,2,2,1,1,1,27,2
1,1,1,4,77,9,"O",3,9,2,2,1,2,1,27,2
1,1,1,2,78,9,"Q",3,9,2,2,1,1,4,27,2
1,1,2,2,77,48,"P",4,9,2,1,1,2,4,181,2
1,1,2,2,78,9,"Q",3,9,2,2,1,1,1,27,2
1,1,2,2,78,9,"Q",2,9,2,2,1,1,4,27,2
1,1,2,2,78,24,"O",1,3,2,1,1,2,4,24,2
1,1,2,2,78,4,"O",2,9,2,2,1,2,1,27,2
1,1,2,2,77,9,"O",1,4,2,2,1,2,1,27,2
1,1,3,2,77,40,"N",2,9,1,1,1,2,4,135,2
1,1,3,2,78,0,"Q",1,9,2,2,1,1,1,27,2
1,1,3,2,77,6,"Q",2,9,2,2,1,2,1,27,2
